-1.000000,0.300000
-0.931034,1.422331
-0.862069,2.124885
-0.793103,2.506308
-0.724138,2.650615
-0.655172,2.628250
-0.586207,2.497124
-0.517241,2.303669
-0.448276,2.083888
-0.379310,1.864397
-0.310345,1.663481
-0.241379,1.492134
-0.172414,1.355117
-0.103448,1.251997
-0.034483,1.178203
0.034483,1.126070
0.103448,1.085887
0.172414,1.046950
0.241379,0.998606
0.310345,0.931302
0.379310,0.837635
0.448276,0.713401
0.517241,0.558639
0.586207,0.378686
0.655172,0.185218
0.724138,-0.002694
0.793103,-0.157542
0.862069,-0.242329
0.931034,-0.209521
1.000000,0.000000
